Symbol,Name,Market Cap,Sector
BANKA.NS,Banka BioLoo Limited,708608384.0,Industrials
BANKBARODA.NS,Bank of Baroda Limited,1132527747072.0,Financial Services
BANKINDIA.NS,Bank of India Limited,501112406016.0,Financial Services
BANSALWIRE.NS,,54825914368.0,Basic Materials
BANSWRAS.NS,Banswara Syntex Limited,4598763520.0,Consumer Cyclical
BARBEQUE.NS,Barbeque-Nation Hospitality Limited,12119948288.0,Consumer Cyclical
BASF.NS,BASF India Limited,186913603584.0,Basic Materials
BASML.NS,Bannari Amman Spinning Mills Ltd,2015845760.0,Consumer Cyclical
BATAINDIA.NS,Bata India Limited,153839124480.0,Consumer Cyclical
BAYERCROP.NS,Bayer CropScience Limited,205973929984.0,Basic Materials
BBL.NS,Bharat Bijlee Limited,33743144960.0,Industrials
BBOX.NS,Black Box Limited,64597417984.0,Technology
BBTC.NS,"The Bombay Burmah Trading Corporation, Limited",119573782528.0,Consumer Defensive
BBTCL.NS,B&B Triplewall Containers Limited,3271536384.0,Consumer Cyclical
BCLIND.NS,BCL Industries Limited,10673094656.0,Consumer Defensive
BCONCEPTS.NS,Brand Concepts Limited,3930716928.0,Consumer Cyclical
BDL.NS,Bharat Dynamics Limited,563222478848.0,Industrials
BEARDSELL.NS,Beardsell Limited,997361792.0,Industrials
BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited,88216813568.0,Consumer Defensive
BEDMUTHA.NS,Bedmutha Industries Limited,5191752192.0,Basic Materials
BEL.NS,Bharat Electronics Limited,2306966552576.0,Industrials
BEML.NS,BEML Limited,126924111872.0,Industrials
BEPL.NS,Bhansali Engineering Polymers Limited,25599952896.0,Basic Materials
BERGEPAINT.NS,Berger Paints India Limited,618446389248.0,Basic Materials
BESTAGRO.NS,Best Agrolife Limited,7891418624.0,Basic Materials
BFINVEST.NS,BF Investment Limited,18006923264.0,Financial Services
BFUTILITIE.NS,BF Utilities Limited,25768404992.0,Industrials
BGRENERGY.NS,BGR Energy Systems Limited,7498337280.0,Industrials
BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited,36495990784.0,Basic Materials
BHAGERIA.NS,Bhageria Industries Limited,6375981056.0,Basic Materials
BHAGYANGR.NS,Bhagyanagar India Limited,2182727168.0,Basic Materials
BHANDARI.NS,Bhandari Hosiery Exports Limited,1128244992.0,Consumer Cyclical
BHARATFORG.NS,Bharat Forge Limited,559425650688.0,Consumer Cyclical
BHARATGEAR.NS,Bharat Gears Limited,1106885504.0,Consumer Cyclical
BHARATRAS.NS,Bharat Rasayan Limited,37796335616.0,Basic Materials
BHARATSE.NS,Bharat Seats Limited,6244832256.0,Consumer Cyclical
BHARATWIRE.NS,Bharat Wire Ropes Limited,11461767168.0,Basic Materials
BHARTIARTL.NS,Bharti Airtel Limited,11057729896448.0,Communication Services
BHARTIHEXA.NS,,858842267648.0,Communication Services
BHEL.NS,Bharat Heavy Electricals Limited,749264240640.0,Industrials
BIGBLOC.NS,Bigbloc Construction Limited,8651709440.0,Industrials
BIKAJI.NS,Bikaji Foods International Limited,168736784384.0,Consumer Defensive
BIL.NS,Bhartiya International Ltd.,9342275584.0,Consumer Cyclical
BINANIIND.NS,Binani Industries Limited,452799520.0,Basic Materials
BIOCON.NS,Biocon Limited,396378177536.0,Healthcare
BIOFILCHEM.NS,Biofil Chemicals and Pharmaceuticals Limited,682182464.0,Healthcare
BIRLACABLE.NS,Birla Cable Limited,4220399872.0,Technology
BIRLACORPN.NS,Birla Corporation Limited,80593739776.0,Basic Materials
BIRLAMONEY.NS,Aditya Birla Money Limited,7984918016.0,Financial Services
BIRLANU.NS,BirlaNu Limited,15507162112.0,Industrials
BLACKBUCK.NS,,71726252032.0,Technology
BLAL.NS,BEML Land Assets Limited,8058210816.0,Financial Services
BLBLIMITED.NS,BLB Limited,789158272.0,Financial Services
BLISSGVS.NS,Bliss GVS Pharma Limited,11613881344.0,Healthcare
BLKASHYAP.NS,B.L. Kashyap and Sons Limited,14168903680.0,Industrials
